,cleaned_entity_name,entity_name,lei,isin,LEI
0,Shell PLC,Shell PLC,21380068P1DRHMJ8KU70,BRRDSABDR009,21380068P1DRHMJ8KU70
1,A Finkl  Sons,A Finkl & Sons Co,,,
3,AEP Generating,AEP Generating Co,,,
4,AGL Loy Yang Pty,AGL Loy Yang Pty Ltd,,,5493000FMBSFUZ80YU09
5,AGL SA Generation Pty,AGL SA Generation Pty Ltd,,,
6,APR Energy,APR Energy Ltd,,,5493000GLL7CZRYG3481
7,AVIC IndustryFinance Holdings,AVIC Industry-Finance Holdings Co Ltd,,,
8,AVIC Securities,AVIC Securities Co Ltd,,,
9,Abinski Elektrometallurgicheski Zavod,Abinski Elektrometallurgicheski Zavod LLC,,,
10,Abinski Elektrometallurgicheski Zavod OOO,Abinski Elektrometallurgicheski Zavod OOO,,,
11,Abu Dhabi National for Building Materials  PJSC,Abu Dhabi National for Building Materials Co PJSC,,,
12,Abul Khair,Abul Khair Ltd,,,549300NCYGR1JNBTG263
13,Abul Khair Steel,Abul Khair Steel Ltd,,,549300NCYGR1JNBTG263
14,Aceros de Guatemala SA,Aceros de Guatemala SA,,,
15,Acindar Industria Argentina de Aceros SA,Acindar Industria Argentina de Aceros SA,,,
16,Aco Verde do Brasil SA,Aco Verde do Brasil SA,,,
17,Ag Siderurgica Balboa SA,Ag Siderurgica Balboa SA,,,
18,Agha Steel Industries,Agha Steel Industries Ltd,,,
19,Ahvaz Power Generation Management,Ahvaz Power Generation Management Co,,,
20,Ajaokuta Steel,Ajaokuta Steel Co Ltd,,,
22,Aksu Investment Construction Group,Aksu Investment Construction Group Co Ltd,,,
23,Aksu Korong XingMao Energy,Aksu Korong XingMao Energy Co Ltd,,,
24,Aktien Gesellschaft der Dillinger Huettenwerke Societe Anonyme des Forges et Acieries de Dilling,Aktien Gesellschaft der Dillinger Huettenwerke Societe Anonyme des Forges et Acieries de Dilling,,,
25,Al Atoun Steel Industries,Al Atoun Steel Industries,,,
26,Al Ezz Dekheila Steel  Alexandria SAE,Al Ezz Dekheila Steel Company Alexandria SAE,,,
27,Al Ezz for Flat Steel Industries  SAE,Al Ezz for Flat Steel Industries Company SAE,,,
28,Al Ittefaq Steel Products  CJSC,Al Ittefaq Steel Products Company CJSC,,,
29,Al Kamil Power  SAOG,Al Kamil Power Company SAOG,,,
30,Al Rusail Power  SAOC,Al Rusail Power Company SAOC,,,
31,Al Tuwairqi Holding,Al Tuwairqi Holding Co,,,
32,Alabama River Cellulose,Alabama River Cellulose LLC,,,
33,Alar Tongzhong Stateowned Capital Investment Operation Group,Alar Tongzhong State-owned Capital Investment Operation (Group) Co Ltd,,,
